"","time","use..kW.","day","hour"
"147",2020-01-07 07:00:00,55.995183336,2,7
"148",2020-01-07 08:00:00,47.916900001,2,8
"149",2020-01-07 09:00:00,48.536533335,2,9
"150",2020-01-07 10:00:00,78.662066668,2,10
"151",2020-01-07 11:00:00,56.170433336,2,11
"152",2020-01-07 12:00:00,61.288133332,2,12
"153",2020-01-07 13:00:00,43.441216668,2,13
"154",2020-01-07 14:00:00,58.663116667,2,14
"155",2020-01-07 15:00:00,42.034166666,2,15
"156",2020-01-07 16:00:00,34.380983331,2,16
"157",2020-01-07 17:00:00,38.363933333,2,17
"158",2020-01-07 18:00:00,15.90606667,2,18
"159",2020-01-07 19:00:00,31.8485,2,19
"160",2020-01-07 20:00:00,45.70866667,2,20
"161",2020-01-07 21:00:00,64.57363333,2,21
"162",2020-01-07 22:00:00,62.585616666,2,22
"163",2020-01-07 23:00:00,90.521300004,2,23
"164",2020-01-08 00:00:00,70.903100003,3,0
"165",2020-01-08 01:00:00,87.028816668,3,1
"166",2020-01-08 02:00:00,65.414016668,3,2
"167",2020-01-08 03:00:00,72.913133333,3,3
"168",2020-01-08 04:00:00,77.694983328,3,4
"169",2020-01-08 05:00:00,61.251350005,3,5
"170",2020-01-08 06:00:00,55.012900002,3,6
"171",2020-01-08 07:00:00,67.346333335,3,7
"172",2020-01-08 08:00:00,53.126766667,3,8
"173",2020-01-08 09:00:00,60.65605,3,9
"174",2020-01-08 10:00:00,82.823616668,3,10
"175",2020-01-08 11:00:00,51.97585,3,11
"176",2020-01-08 12:00:00,81.651049997,3,12
"177",2020-01-08 13:00:00,46.61636667,3,13
"178",2020-01-08 14:00:00,72.230933334,3,14
"179",2020-01-08 15:00:00,60.446833333,3,15
"180",2020-01-08 16:00:00,47.244166666,3,16
"181",2020-01-08 17:00:00,37.28295,3,17
"182",2020-01-08 18:00:00,43.009583333,3,18
"183",2020-01-08 19:00:00,67.137416668,3,19
"184",2020-01-08 20:00:00,96.382066667,3,20
"185",2020-01-08 21:00:00,82.284999998,3,21
"186",2020-01-08 22:00:00,82.889250003,3,22
"187",2020-01-08 23:00:00,61.529699997,3,23
"188",2020-01-09 00:00:00,49.034383332,4,0
"189",2020-01-09 01:00:00,43.561766667,4,1
"190",2020-01-09 02:00:00,49.567233333,4,2
"191",2020-01-09 03:00:00,51.009383333,4,3
"192",2020-01-09 04:00:00,52.036233336,4,4
"193",2020-01-09 05:00:00,44.316183331,4,5
"194",2020-01-09 06:00:00,41.595450002,4,6
"195",2020-01-09 07:00:00,45.335449997,4,7
"196",2020-01-09 08:00:00,39.02401667,4,8
"197",2020-01-09 09:00:00,43.807416666,4,9
"198",2020-01-09 10:00:00,45.803516669,4,10
"199",2020-01-09 11:00:00,48.438333331,4,11
"200",2020-01-09 12:00:00,66.479349998,4,12
"201",2020-01-09 13:00:00,68.967933332,4,13
"202",2020-01-09 14:00:00,55.789516668,4,14
"203",2020-01-09 15:00:00,47.902600001,4,15
"204",2020-01-09 16:00:00,35.71666667,4,16
"205",2020-01-09 17:00:00,29.944100002,4,17
"206",2020-01-09 18:00:00,58.416450005,4,18
"207",2020-01-09 19:00:00,39.544516667,4,19
"208",2020-01-09 20:00:00,57.377933334,4,20
"209",2020-01-09 21:00:00,75.289333335,4,21
"210",2020-01-09 22:00:00,107.207066667,4,22
"211",2020-01-09 23:00:00,107.543066671,4,23
"212",2020-01-10 00:00:00,109.862400003,5,0
"213",2020-01-10 01:00:00,69.635550001,5,1
"214",2020-01-10 02:00:00,82.453033335,5,2
"215",2020-01-10 03:00:00,43.679050001,5,3
"216",2020-01-10 04:00:00,48.708000002,5,4
"217",2020-01-10 05:00:00,48.092983334,5,5
"218",2020-01-10 06:00:00,39.587866665,5,6
"219",2020-01-10 07:00:00,40.627433334,5,7
"220",2020-01-10 08:00:00,44.636733335,5,8
"221",2020-01-10 09:00:00,40.720999999,5,9
"222",2020-01-10 10:00:00,44.192333333,5,10
"223",2020-01-10 11:00:00,45.318966669,5,11
"224",2020-01-10 12:00:00,64.247416665,5,12
"225",2020-01-10 13:00:00,66.035700003,5,13
"226",2020-01-10 14:00:00,115.232083337,5,14
"227",2020-01-10 15:00:00,84.282316666,5,15
"228",2020-01-10 16:00:00,85.591666669,5,16
"229",2020-01-10 17:00:00,76.677133336,5,17
"230",2020-01-10 18:00:00,55.266200001,5,18
"231",2020-01-10 19:00:00,48.819750004,5,19
"232",2020-01-10 20:00:00,46.46965,5,20
"233",2020-01-10 21:00:00,74.315750004,5,21
"234",2020-01-10 22:00:00,87.469483332,5,22
"235",2020-01-10 23:00:00,176.221316668,5,23
"236",2020-01-11 00:00:00,88.290316668,6,0
"237",2020-01-11 01:00:00,145.944066668,6,1
"238",2020-01-11 02:00:00,109.854233334,6,2
"239",2020-01-11 03:00:00,82.223366664,6,3
"240",2020-01-11 04:00:00,50.483116666,6,4
"241",2020-01-11 05:00:00,31.323416666,6,5
"242",2020-01-11 06:00:00,33.673266667,6,6
"243",2020-01-11 07:00:00,51.963949999,6,7
"244",2020-01-11 08:00:00,45.676883334,6,8
"245",2020-01-11 09:00:00,55.563000001,6,9
"246",2020-01-11 10:00:00,68.646049998,6,10
"247",2020-01-11 11:00:00,67.841949997,6,11
"248",2020-01-11 12:00:00,37.232166665,6,12
"249",2020-01-11 13:00:00,49.637349998,6,13
"250",2020-01-11 14:00:00,89.949299999,6,14
"251",2020-01-11 15:00:00,92.666716668,6,15
"252",2020-01-11 16:00:00,90.337966665,6,16
"253",2020-01-11 17:00:00,43.269233334,6,17
"254",2020-01-11 18:00:00,75.530716663,6,18
"255",2020-01-11 19:00:00,41.298216665,6,19
"256",2020-01-11 20:00:00,36.208916664,6,20
"257",2020-01-11 21:00:00,69.366883334,6,21
"258",2020-01-11 22:00:00,70.436166667,6,22
"259",2020-01-11 23:00:00,68.263966666,6,23
"260",2020-01-12 00:00:00,94.636799998,0,0
"261",2020-01-12 01:00:00,104.080350002,0,1
"262",2020-01-12 02:00:00,72.646749996,0,2
"263",2020-01-12 03:00:00,77.133833335,0,3
"264",2020-01-12 04:00:00,134.308816668,0,4
"265",2020-01-12 05:00:00,84.585799999,0,5
"266",2020-01-12 06:00:00,51.484633332,0,6
"267",2020-01-12 07:00:00,57.82631667,0,7
"268",2020-01-12 08:00:00,51.061966665,0,8
"269",2020-01-12 09:00:00,61.512666663,0,9
"270",2020-01-12 10:00:00,82.118066668,0,10
"271",2020-01-12 11:00:00,62.01405,0,11
"272",2020-01-12 12:00:00,71.061716665,0,12
"273",2020-01-12 13:00:00,47.333016666,0,13
"274",2020-01-12 14:00:00,44.822983332,0,14
"275",2020-01-12 15:00:00,42.460999998,0,15
"276",2020-01-12 16:00:00,31.111066666,0,16
"277",2020-01-12 17:00:00,54.003916667,0,17
"278",2020-01-12 18:00:00,23.303299997,0,18
"279",2020-01-12 19:00:00,38.129316668,0,19
"280",2020-01-12 20:00:00,60.541950003,0,20
"281",2020-01-12 21:00:00,59.737966665,0,21
"282",2020-01-12 22:00:00,69.520183334,0,22
"283",2020-01-12 23:00:00,90.861899998,0,23
"284",2020-01-13 00:00:00,62.020500001,1,0
